id,flight,tailnum,airline
603,UA-717,N38403,United Air Lines Inc.
604,UA-72,N38417,United Air Lines Inc.
605,UA-720,N38424,United Air Lines Inc.
606,UA-726,N38443,United Air Lines Inc.
607,UA-73,N38446,United Air Lines Inc.
608,UA-733,N38454,United Air Lines Inc.
609,UA-734,N38458,United Air Lines Inc.
610,UA-741,N38459,United Air Lines Inc.
611,UA-746,N384AA,United Air Lines Inc.
612,UA-750,N384DA,United Air Lines Inc.
613,UA-762,N385AA,United Air Lines Inc.
614,UA-771,N385DN,United Air Lines Inc.
615,UA-772,N386AA,United Air Lines Inc.
616,UA-775,N386DA,United Air Lines Inc.
617,UA-779,N38727,United Air Lines Inc.
618,UA-782,N387DA,United Air Lines Inc.
619,UA-785,N388AA,United Air Lines Inc.
620,UA-789,N388DA,United Air Lines Inc.
621,UA-791,N389DA,United Air Lines Inc.
622,UA-799,N390AA,United Air Lines Inc.
623,UA-80,N390DA,United Air Lines Inc.
624,UA-808,N391AA,United Air Lines Inc.
625,UA-816,N391DA,United Air Lines Inc.
626,UA-852,N39297,United Air Lines Inc.
627,UA-856,N392DA,United Air Lines Inc.
628,UA-871,N393AA,United Air Lines Inc.
629,UA-872,N393DA,United Air Lines Inc.
630,UA-890,N39423,United Air Lines Inc.
631,UA-894,N39450,United Air Lines Inc.
632,UA-906,N39461,United Air Lines Inc.
633,UA-910,N39463,United Air Lines Inc.
634,UA-926,N394AA,United Air Lines Inc.
635,UA-927,N394DA,United Air Lines Inc.
636,UA-954,N395AA,United Air Lines Inc.
637,UA-963,N395DN,United Air Lines Inc.
638,UA-974,N396AA,United Air Lines Inc.
639,UA-979,N39728,United Air Lines Inc.
640,UA-980,N397DA,United Air Lines Inc.
641,UA-984,N398AA,United Air Lines Inc.
642,UA-985,N398CA,United Air Lines Inc.
643,UA-994,N398DA,United Air Lines Inc.
644,UA-997,N399AA,United Air Lines Inc.
645,US-1019,N399DA,US Airways Inc.
646,US-1030,N3AAAA,US Airways Inc.
647,US-1036,N3ABAA,US Airways Inc.
648,US-1048,N3ACAA,US Airways Inc.
649,US-1055,N3ADAA,US Airways Inc.
650,US-1057,N3AEMQ,US Airways Inc.
651,US-1059,N3AFAA,US Airways Inc.
652,US-1085,N3AHAA,US Airways Inc.
653,US-1103,N3AJAA,US Airways Inc.
654,US-1105,N3AKAA,US Airways Inc.
655,US-1117,N3ALAA,US Airways Inc.
656,US-1125,N3AMAA,US Airways Inc.
657,US-1177,N3ANAA,US Airways Inc.
658,US-123,N3APAA,US Airways Inc.
659,US-1250,N3ARAA,US Airways Inc.
660,US-1269,N3ASAA,US Airways Inc.
661,US-1277,N3AUAA,US Airways Inc.
662,US-1427,N3AVAA,US Airways Inc.
663,US-1429,N3AWAA,US Airways Inc.
664,US-1433,N3AXAA,US Airways Inc.
665,US-1437,N3AYAA,US Airways Inc.
666,US-1441,N3BAAA,US Airways Inc.
667,US-1443,N3BBAA,US Airways Inc.
668,US-1445,N3BCAA,US Airways Inc.
669,US-1447,N3BEAA,US Airways Inc.
670,US-1459,N3BFAA,US Airways Inc.
671,US-1485,N3BGAA,US Airways Inc.
672,US-1491,N3BHAA,US Airways Inc.
673,US-1507,N3BJAA,US Airways Inc.
674,US-1567,N3BKAA,US Airways Inc.
675,US-1575,N3BLAA,US Airways Inc.
676,US-1615,N3BMAA,US Airways Inc.
677,US-1625,N3BNAA,US Airways Inc.
678,US-1629,N3BPAA,US Airways Inc.
679,US-1641,N3BRAA,US Airways Inc.
680,US-1643,N3BUAA,US Airways Inc.
681,US-1665,N3BVAA,US Airways Inc.
682,US-1723,N3BWAA,US Airways Inc.
683,US-1733,N3BXAA,US Airways Inc.
684,US-1753,N3BYAA,US Airways Inc.
685,US-1791,N3CAAA,US Airways Inc.
686,US-1895,N3CCAA,US Airways Inc.
687,US-1973,N3CDAA,US Airways Inc.
688,US-2114,N3CEAA,US Airways Inc.
689,US-2116,N3CFAA,US Airways Inc.
690,US-2118,N3CHAA,US Airways Inc.
691,US-2120,N3CJAA,US Airways Inc.
692,US-2122,N3CKAA,US Airways Inc.
693,US-2124,N3CLAA,US Airways Inc.
694,US-2126,N3CNAA,US Airways Inc.
695,US-2128,N3CRAA,US Airways Inc.
696,US-2130,N3CSAA,US Airways Inc.
697,US-2132,N3CUAA,US Airways Inc.
698,US-2134,N3CVAA,US Airways Inc.
699,US-2136,N3CWAA,US Airways Inc.
700,US-2138,N3CXAA,US Airways Inc.
701,US-2140,N3CYAA,US Airways Inc.
702,US-2142,N3DAAA,US Airways Inc.
703,US-2144,N3DBAA,US Airways Inc.
704,US-373,N3DCAA,US Airways Inc.
705,US-375,N3DDAA,US Airways Inc.
706,US-449,N3DEAA,US Airways Inc.
707,US-487,N3DFAA,US Airways Inc.
708,US-675,N3DGAA,US Airways Inc.
709,US-681,N3DHAA,US Airways Inc.
710,US-720,N3DLAA,US Airways Inc.
711,US-819,N3DMAA,US Airways Inc.
712,US-887,N3DNAA,US Airways Inc.
713,US-894,N3DRAA,US Airways Inc.
714,US-926,N3DSAA,US Airways Inc.
715,US-947,N3DUAA,US Airways Inc.
716,US-975,N3DVAA,US Airways Inc.
